timestamp,dry_bulb,dew_point,relative_humidity,pressure
0,25.5,18.2,65.3,101325
1,24.8,17.8,66.1,101320
2,24.2,17.5,67.2,101318
3,23.8,17.2,68.5,101315
4,23.5,17.0,69.2,101312
5,23.3,16.9,69.8,101310
6,23.8,17.1,68.9,101315
7,25.2,17.8,66.5,101322
8,27.1,18.5,62.8,101330
9,29.3,19.2,58.4,101338
10,31.5,19.8,54.2,101345
11,33.2,20.3,51.1,101350
12,34.8,20.7,48.5,101355
13,35.9,21.0,46.8,101358
14,36.5,21.2,45.7,101360
15,36.8,21.3,45.2,101361
16,36.2,21.1,46.1,101359
17,35.1,20.8,47.9,101355
18,33.5,20.4,50.5,101348
19,31.2,19.9,54.8,101340
20,29.0,19.3,59.2,101332
21,27.5,18.8,62.5,101328
22,26.3,18.4,64.8,101324
23,25.8,18.1,65.7,101322
