hour,it_kW,chiller_kW,pump_kW,tower_kW,total_cooling_kW,chiller_COP,rack_inlet_C,ambient_C,wetbulb_C,dewpoint_C,cost_USD,carbon_kg,pue,thermal_compliant
1,7.880,3.940,0.003,0.005,3.948,2.000,10.20,4.00,1.00,-3.00,1.5984,8.5628,2.415,NO
2,7.496,3.749,0.003,0.005,3.757,2.000,10.20,4.20,1.20,-2.80,1.5500,8.3038,2.462,NO
3,8.066,4.034,0.003,0.005,4.042,2.000,10.20,4.80,1.80,-2.20,1.6218,8.6884,2.394,NO
4,7.958,3.980,0.003,0.005,3.988,2.000,10.20,5.76,2.76,-1.24,1.6082,8.6154,2.406,NO
5,8.636,4.319,0.003,0.005,4.327,1.999,10.20,7.00,4.00,0.00,1.6937,9.0732,2.335,NO
6,8.428,4.216,0.003,0.005,4.224,1.999,10.20,8.45,5.45,1.45,1.6676,8.9334,2.355,NO
7,9.142,4.573,0.003,0.005,4.581,1.999,10.20,10.00,7.00,3.00,2.5108,9.4156,2.289,NO
8,9.149,4.577,0.003,0.005,4.585,1.999,10.20,11.55,8.55,4.55,2.5120,9.4201,2.288,NO
9,9.396,4.701,0.003,0.005,4.709,1.999,10.20,13.00,10.00,6.00,2.5566,9.5871,2.267,NO
10,10.207,5.107,0.003,0.005,5.116,1.999,10.20,14.24,11.24,7.24,2.7027,10.1353,2.207,NO
11,10.103,5.056,0.003,0.005,5.064,1.998,10.20,15.20,12.20,8.20,2.6841,10.0652,2.214,NO
12,10.600,5.305,0.004,0.006,5.314,1.998,10.21,15.80,12.80,8.80,2.7737,10.4015,2.181,NO
13,10.289,5.149,0.003,0.005,5.158,1.998,10.21,16.00,13.00,9.00,4.0765,10.1912,2.201,NO
14,10.488,5.250,0.003,0.006,5.259,1.998,10.21,15.80,12.80,8.80,4.1305,10.3261,2.188,NO
15,10.250,5.131,0.003,0.005,5.139,1.998,10.20,15.20,12.20,8.20,4.0661,10.1652,2.204,NO
16,10.071,5.042,0.003,0.005,5.050,1.998,10.20,14.24,11.24,7.24,4.0178,10.0446,2.216,NO
17,9.786,4.899,0.003,0.005,4.907,1.997,10.20,13.00,10.00,6.00,3.9407,9.8517,2.237,NO
18,9.254,4.634,0.003,0.005,4.642,1.997,10.20,11.55,8.55,4.55,3.7973,9.4932,2.280,NO
19,9.139,4.576,0.003,0.005,4.584,1.997,10.20,10.00,7.00,3.00,2.5108,9.4156,2.289,NO
20,8.793,4.403,0.003,0.005,4.411,1.997,10.20,8.45,5.45,1.45,2.4485,9.1818,2.321,NO
21,8.146,4.080,0.003,0.005,4.088,1.997,10.20,7.00,4.00,-0.00,2.3320,8.7451,2.386,NO
22,8.060,4.037,0.003,0.005,4.045,1.997,10.20,5.76,2.76,-1.24,2.3165,8.6869,2.395,NO
23,7.914,3.964,0.003,0.005,3.972,1.996,10.20,4.80,1.80,-2.20,1.6032,8.5886,2.412,NO
24,7.700,3.857,0.003,0.005,3.865,1.996,10.20,4.20,1.20,-2.80,1.5763,8.4443,2.437,NO
25,7.799,3.907,0.003,0.005,3.915,1.996,10.20,4.00,1.00,-3.00,1.5888,8.5116,2.425,NO
26,7.481,3.748,0.003,0.005,3.756,1.996,10.20,4.21,1.21,-2.79,1.5487,8.2967,2.464,NO
27,7.719,3.867,0.003,0.005,3.875,1.996,10.20,4.81,1.81,-2.19,1.5787,8.4574,2.435,NO
28,8.321,4.169,0.003,0.005,4.177,1.996,10.20,5.76,2.76,-1.24,1.6547,8.8643,2.367,NO
29,8.015,4.016,0.003,0.005,4.024,1.996,10.20,7.00,4.00,0.00,1.6161,8.6577,2.400,NO
30,8.415,4.217,0.003,0.005,4.225,1.995,10.20,8.45,5.45,1.45,1.6666,8.9280,2.358,NO
31,8.944,4.483,0.003,0.005,4.491,1.995,10.20,10.00,7.00,3.00,2.4762,9.2859,2.307,NO
32,9.298,4.661,0.003,0.005,4.669,1.995,10.20,11.55,8.55,4.55,2.5401,9.5253,2.276,NO
33,9.878,4.952,0.003,0.005,4.960,1.995,10.20,13.00,10.00,6.00,2.6445,9.9170,2.231,NO
34,10.265,5.146,0.003,0.005,5.155,1.995,10.21,14.24,11.24,7.24,2.7143,10.1786,2.204,NO
35,10.216,5.122,0.003,0.005,5.131,1.995,10.20,15.20,12.20,8.20,2.7056,10.1461,2.207,NO
36,10.486,5.258,0.003,0.006,5.267,1.994,10.21,15.80,12.80,8.80,2.7544,10.3290,2.189,NO
37,10.147,5.088,0.003,0.005,5.096,1.994,10.20,16.00,13.00,9.00,4.0397,10.0993,2.212,NO
38,10.553,5.292,0.004,0.006,5.301,1.994,10.21,15.80,12.80,8.80,4.1497,10.3743,2.185,NO
39,10.259,5.145,0.003,0.005,5.154,1.994,10.21,15.20,12.20,8.20,4.0703,10.1758,2.204,NO
40,9.652,4.841,0.003,0.005,4.849,1.994,10.20,14.24,11.24,7.24,3.9061,9.7654,2.248,NO
41,9.545,4.788,0.003,0.005,4.796,1.994,10.20,13.00,10.00,6.00,3.8774,9.6934,2.257,NO
42,9.630,4.831,0.003,0.005,4.839,1.993,10.20,11.55,8.55,4.55,3.9003,9.7507,2.250,NO
43,8.834,4.432,0.003,0.005,4.440,1.993,10.20,10.00,7.00,3.00,2.4569,9.2135,2.318,NO
44,8.545,4.287,0.003,0.005,4.295,1.993,10.20,8.45,5.45,1.45,2.4048,9.0179,2.345,NO
45,8.023,4.026,0.003,0.005,4.034,1.993,10.20,7.00,4.00,0.00,2.3108,8.6655,2.400,NO
46,8.300,4.165,0.003,0.005,4.173,1.993,10.20,5.76,2.76,-1.24,2.3608,8.8530,2.370,NO
47,8.020,4.025,0.003,0.005,4.033,1.993,10.20,4.81,1.81,-2.19,1.6172,8.6637,2.401,NO
48,7.864,3.947,0.003,0.005,3.955,1.993,10.20,4.21,1.21,-2.79,1.5976,8.5585,2.418,NO
49,7.521,3.775,0.003,0.005,3.783,1.992,10.20,4.01,1.01,-2.99,1.5543,8.3265,2.460,NO
50,7.585,3.808,0.003,0.005,3.816,1.992,10.20,4.21,1.21,-2.79,1.5625,8.3704,2.452,NO
51,7.522,3.776,0.003,0.005,3.784,1.992,10.20,4.81,1.81,-2.19,1.5545,8.3276,2.460,NO
52,7.988,4.010,0.003,0.005,4.018,1.992,10.20,5.76,2.76,-1.24,1.6133,8.6429,2.404,NO
53,8.105,4.069,0.003,0.005,4.078,1.992,10.20,7.01,4.01,0.01,1.6282,8.7222,2.391,NO
54,8.314,4.175,0.003,0.005,4.183,1.992,10.20,8.45,5.45,1.45,1.6546,8.8638,2.369,NO
55,8.959,4.499,0.003,0.005,4.507,1.991,10.20,10.01,7.01,3.01,2.4798,9.2994,2.307,NO
56,9.060,4.550,0.003,0.005,4.558,1.991,10.20,11.56,8.56,4.56,2.4982,9.3683,2.298,NO
57,9.768,4.906,0.003,0.005,4.914,1.991,10.20,13.01,10.01,6.01,2.6258,9.8467,2.240,NO
58,9.779,4.912,0.003,0.005,4.920,1.991,10.20,14.25,11.25,7.25,2.6279,9.8546,2.239,NO
59,10.393,5.221,0.003,0.006,5.230,1.991,10.21,15.20,12.20,8.20,2.7388,10.2705,2.196,NO
60,10.464,5.257,0.003,0.006,5.266,1.991,10.21,15.80,12.80,8.80,2.7515,10.3183,2.191,NO
61,10.503,5.276,0.003,0.006,5.286,1.990,10.21,16.01,13.01,9.01,4.1379,10.3448,2.189,NO
62,10.279,5.164,0.003,0.005,5.173,1.990,10.21,15.80,12.80,8.80,4.0773,10.1933,2.204,NO
63,10.356,5.204,0.003,0.006,5.213,1.990,10.21,15.20,12.20,8.20,4.0983,10.2457,2.199,NO
