scenario,time_s,T_in_C,T_wb_C,RH_in_percent,efficiency,V_air_m3s,T_out_C,RH_out_percent,m_air_kg_s,Q_kW,m_water_kg_s,cum_Q_kWh,cum_water_kg
Control_PID_Fault,0.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.110031,0.177
Control_PID_Fault,5.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.220063,0.354
Control_PID_Fault,10.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.330094,0.531
Control_PID_Fault,15.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.440125,0.708
Control_PID_Fault,20.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.550156,0.885
Control_PID_Fault,25.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.660188,1.062
Control_PID_Fault,30.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.770219,1.239
Control_PID_Fault,35.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.880250,1.416
Control_PID_Fault,40.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,0.990281,1.593
Control_PID_Fault,45.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.100313,1.770
Control_PID_Fault,50.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.210344,1.947
Control_PID_Fault,55.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.320375,2.124
Control_PID_Fault,60.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.430406,2.301
Control_PID_Fault,65.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.540438,2.478
Control_PID_Fault,70.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.650469,2.655
Control_PID_Fault,75.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.760500,2.832
Control_PID_Fault,80.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.870531,3.009
Control_PID_Fault,85.00,36.000,26.000,45.00,0.750,8.750,28.500,86.25,10.5000,79.2225,0.0351,1.980563,3.186
