scenario,time_s,T_in_C,T_wb_C,RH_in_percent,efficiency,V_air_m3s,T_out_C,RH_out_percent,m_air_kg_s,Q_kW,m_water_kg_s,cum_Q_kWh,cum_water_kg
DailyProfile_ClimateSweep,0.00,30.000,20.000,70.00,0.800,10.000,22.000,94.00,12.0000,96.5760,0.0427,1.609600,2.590
DailyProfile_ClimateSweep,60.00,30.000,20.000,70.00,0.800,10.000,22.000,94.00,12.0000,96.5763,0.0427,3.219205,5.179
DailyProfile_ClimateSweep,120.00,30.000,20.000,70.00,0.800,10.000,22.000,94.00,12.0000,96.5771,0.0427,4.828823,7.769
DailyProfile_ClimateSweep,180.00,30.001,20.000,70.00,0.800,10.000,22.000,94.00,12.0000,96.5785,0.0427,6.438464,10.359
DailyProfile_ClimateSweep,240.00,30.001,20.000,70.00,0.800,10.000,22.001,94.00,12.0000,96.5804,0.0427,8.048138,12.948
DailyProfile_ClimateSweep,300.00,30.001,20.001,69.99,0.800,10.000,22.001,94.00,12.0000,96.5829,0.0427,9.657853,15.538
DailyProfile_ClimateSweep,360.00,30.002,20.001,69.99,0.800,10.000,22.001,94.00,12.0000,96.5859,0.0427,11.267618,18.128
DailyProfile_ClimateSweep,420.00,30.003,20.001,69.99,0.800,10.000,22.002,94.00,12.0000,96.5895,0.0427,12.877444,20.718
DailyProfile_ClimateSweep,480.00,30.004,20.002,69.99,0.800,10.000,22.002,94.00,12.0000,96.5936,0.0427,14.487338,23.308
DailyProfile_ClimateSweep,540.00,30.005,20.002,69.98,0.800,10.000,22.003,94.00,12.0000,96.5983,0.0427,16.097310,25.898
DailyProfile_ClimateSweep,600.00,30.006,20.003,69.98,0.800,10.000,22.003,94.00,12.0000,96.6036,0.0427,17.707370,28.488
DailyProfile_ClimateSweep,660.00,30.007,20.003,69.97,0.800,10.000,22.004,93.99,12.0000,96.6094,0.0427,19.317526,31.079
DailyProfile_ClimateSweep,720.00,30.008,20.004,69.97,0.800,10.000,22.005,93.99,12.0000,96.6157,0.0428,20.927787,33.670
DailyProfile_ClimateSweep,780.00,30.010,20.005,69.96,0.800,10.000,22.006,93.99,12.0000,96.6226,0.0428,22.538164,36.261
DailyProfile_ClimateSweep,840.00,30.011,20.006,69.96,0.800,10.000,22.007,93.99,12.0000,96.6300,0.0428,24.148665,38.852
DailyProfile_ClimateSweep,900.00,30.013,20.006,69.95,0.800,10.000,22.008,93.99,12.0000,96.6380,0.0428,25.759299,41.443
DailyProfile_ClimateSweep,960.00,30.015,20.007,69.95,0.800,10.000,22.009,93.99,12.0000,96.6466,0.0428,27.370075,44.034
DailyProfile_ClimateSweep,1020.00,30.016,20.008,69.94,0.800,10.000,22.010,93.99,12.0000,96.6557,0.0428,28.981003,46.626
DailyProfile_ClimateSweep,1080.00,30.018,20.009,69.93,0.800,10.000,22.011,93.99,12.0000,96.6653,0.0428,30.592091,49.218
DailyProfile_ClimateSweep,1140.00,30.021,20.010,69.92,0.800,10.000,22.012,93.98,12.0000,96.6755,0.0428,32.203350,51.810
DailyProfile_ClimateSweep,1200.00,30.023,20.011,69.91,0.800,10.000,22.014,93.98,12.0000,96.6863,0.0428,33.814787,54.403
DailyProfile_ClimateSweep,1260.00,30.025,20.013,69.91,0.800,10.000,22.015,93.98,12.0000,96.6975,0.0428,35.426413,56.996
DailyProfile_ClimateSweep,1320.00,30.028,20.014,69.90,0.800,10.000,22.017,93.98,12.0000,96.7094,0.0428,37.038236,59.589
DailyProfile_ClimateSweep,1380.00,30.030,20.015,69.89,0.800,10.000,22.018,93.98,12.0000,96.7218,0.0428,38.650266,62.182
DailyProfile_ClimateSweep,1440.00,30.033,20.016,69.88,0.800,10.000,22.020,93.98,12.0000,96.7347,0.0428,40.262511,64.776
DailyProfile_ClimateSweep,1500.00,30.036,20.018,69.87,0.800,10.000,22.021,93.97,12.0000,96.7482,0.0428,41.874981,67.371
DailyProfile_ClimateSweep,1560.00,30.039,20.019,69.86,0.800,10.000,22.023,93.97,12.0000,96.7622,0.0428,43.487685,69.965
DailyProfile_ClimateSweep,1620.00,30.042,20.021,69.84,0.800,10.000,22.025,93.97,12.0000,96.7768,0.0428,45.100632,72.560
DailyProfile_ClimateSweep,1680.00,30.045,20.022,69.83,0.800,10.000,22.027,93.97,12.0000,96.7920,0.0428,46.713831,75.156
DailyProfile_ClimateSweep,1740.00,30.048,20.024,69.82,0.800,10.000,22.029,93.96,12.0000,96.8076,0.0428,48.327292,77.751
DailyProfile_ClimateSweep,1800.00,30.051,20.026,69.81,0.800,10.000,22.031,93.96,12.0000,96.8239,0.0428,49.941023,80.348
DailyProfile_ClimateSweep,1860.00,30.055,20.027,69.79,0.800,10.000,22.033,93.96,12.0000,96.8406,0.0428,51.555034,82.944
DailyProfile_ClimateSweep,1920.00,30.058,20.029,69.78,0.800,10.000,22.035,93.96,12.0000,96.8580,0.0429,53.169333,85.541
DailyProfile_ClimateSweep,1980.00,30.062,20.031,69.77,0.800,10.000,22.037,93.95,12.0000,96.8758,0.0429,54.783930,88.139
DailyProfile_ClimateSweep,2040.00,30.066,20.033,69.75,0.800,10.000,22.040,93.95,12.0000,96.8942,0.0429,56.398834,90.737
DailyProfile_ClimateSweep,2100.00,30.070,20.035,69.74,0.800,10.000,22.042,93.95,12.0000,96.9132,0.0429,58.014054,93.336
DailyProfile_ClimateSweep,2160.00,30.074,20.037,69.72,0.800,10.000,22.044,93.94,12.0000,96.9327,0.0429,59.629599,95.935
DailyProfile_ClimateSweep,2220.00,30.078,20.039,69.71,0.800,10.000,22.047,93.94,12.0000,96.9528,0.0429,61.245479,98.535
DailyProfile_ClimateSweep,2280.00,30.082,20.041,69.69,0.800,10.000,22.049,93.94,12.0000,96.9733,0.0429,62.861701,101.135
DailyProfile_ClimateSweep,2340.00,30.087,20.043,69.68,0.800,10.000,22.052,93.94,12.0000,96.9945,0.0429,64.478276,103.736
DailyProfile_ClimateSweep,2400.00,30.091,20.046,69.66,0.800,10.000,22.055,93.93,12.0000,97.0162,0.0429,66.095212,106.337
DailyProfile_ClimateSweep,2460.00,30.096,20.048,69.64,0.800,10.000,22.057,93.93,12.0000,97.0384,0.0429,67.712518,108.939
DailyProfile_ClimateSweep,2520.00,30.100,20.050,69.62,0.800,10.000,22.060,93.92,12.0000,97.0612,0.0429,69.330204,111.542
DailyProfile_ClimateSweep,2580.00,30.105,20.053,69.61,0.800,10.000,22.063,93.92,12.0000,97.0845,0.0430,70.948278,114.145
DailyProfile_ClimateSweep,2640.00,30.110,20.055,69.59,0.800,10.000,22.066,93.92,12.0000,97.1083,0.0430,72.566750,116.749
DailyProfile_ClimateSweep,2700.00,30.115,20.058,69.57,0.800,10.000,22.069,93.91,12.0000,97.1327,0.0430,74.185629,119.354
DailyProfile_ClimateSweep,2760.00,30.120,20.060,69.55,0.800,10.000,22.072,93.91,12.0000,97.1576,0.0430,75.804923,121.959
DailyProfile_ClimateSweep,2820.00,30.126,20.063,69.53,0.800,10.000,22.075,93.91,12.0000,97.1831,0.0430,77.424641,124.565
DailyProfile_ClimateSweep,2880.00,30.131,20.066,69.51,0.800,10.000,22.079,93.90,12.0000,97.2091,0.0430,79.044793,127.171
DailyProfile_ClimateSweep,2940.00,30.137,20.068,69.49,0.800,10.000,22.082,93.90,12.0000,97.2357,0.0430,80.665388,129.778
DailyProfile_ClimateSweep,3000.00,30.142,20.071,69.47,0.800,10.000,22.085,93.89,12.0000,97.2628,0.0430,82.286434,132.386
DailyProfile_ClimateSweep,3060.00,30.148,20.074,69.45,0.800,10.000,22.089,93.89,12.0000,97.2904,0.0430,83.907941,134.995
DailyProfile_ClimateSweep,3120.00,30.154,20.077,69.42,0.800,10.000,22.092,93.88,12.0000,97.3186,0.0431,85.529917,137.605
DailyProfile_ClimateSweep,3180.00,30.160,20.080,69.40,0.800,10.000,22.096,93.88,12.0000,97.3473,0.0431,87.152372,140.215
DailyProfile_ClimateSweep,3240.00,30.166,20.083,69.38,0.800,10.000,22.099,93.88,12.0000,97.3765,0.0431,88.775314,142.826
DailyProfile_ClimateSweep,3300.00,30.172,20.086,69.36,0.800,10.000,22.103,93.87,12.0000,97.4063,0.0431,90.398752,145.438
DailyProfile_ClimateSweep,3360.00,30.178,20.089,69.33,0.800,10.000,22.107,93.87,12.0000,97.4366,0.0431,92.022695,148.051
DailyProfile_ClimateSweep,3420.00,30.185,20.092,69.31,0.800,10.000,22.111,93.86,12.0000,97.4675,0.0431,93.647153,150.664
DailyProfile_ClimateSweep,3480.00,30.191,20.096,69.28,0.800,10.000,22.115,93.86,12.0000,97.4989,0.0431,95.272134,153.279
DailyProfile_ClimateSweep,3540.00,30.198,20.099,69.26,0.800,10.000,22.119,93.85,12.0000,97.5308,0.0432,96.897647,155.894
DailyProfile_ClimateSweep,3600.00,30.204,20.102,69.23,0.800,10.000,22.123,93.85,12.0000,97.5632,0.0432,98.523701,158.510
DailyProfile_ClimateSweep,3660.00,30.211,20.106,69.21,0.800,10.000,22.127,93.84,12.0000,97.5962,0.0432,100.150304,161.127
DailyProfile_ClimateSweep,3720.00,30.218,20.109,69.18,0.800,10.000,22.131,93.84,12.0000,97.6297,0.0432,101.777466,163.745
DailyProfile_ClimateSweep,3780.00,30.225,20.113,69.16,0.800,10.000,22.135,93.83,12.0000,97.6638,0.0432,103.405196,166.363
DailyProfile_ClimateSweep,3840.00,30.232,20.116,69.13,0.800,10.000,22.139,93.83,12.0000,97.6984,0.0432,105.033502,168.983
DailyProfile_ClimateSweep,3900.00,30.240,20.120,69.10,0.800,10.000,22.144,93.82,12.0000,97.7335,0.0432,106.662393,171.604
DailyProfile_ClimateSweep,3960.00,30.247,20.124,69.07,0.800,10.000,22.148,93.81,12.0000,97.7691,0.0433,108.291878,174.225
DailyProfile_ClimateSweep,4020.00,30.255,20.127,69.05,0.800,10.000,22.153,93.81,12.0000,97.8053,0.0433,109.921966,176.848
DailyProfile_ClimateSweep,4080.00,30.262,20.131,69.02,0.800,10.000,22.157,93.80,12.0000,97.8420,0.0433,111.552666,179.471
DailyProfile_ClimateSweep,4140.00,30.270,20.135,68.99,0.800,10.000,22.162,93.80,12.0000,97.8792,0.0433,113.183986,182.096
DailyProfile_ClimateSweep,4200.00,30.278,20.139,68.96,0.800,10.000,22.167,93.79,12.0000,97.9169,0.0433,114.815935,184.722
DailyProfile_ClimateSweep,4260.00,30.286,20.143,68.93,0.800,10.000,22.171,93.79,12.0000,97.9552,0.0433,116.448522,187.348
DailyProfile_ClimateSweep,4320.00,30.294,20.147,68.90,0.800,10.000,22.176,93.78,12.0000,97.9940,0.0434,118.081756,189.976
DailyProfile_ClimateSweep,4380.00,30.302,20.151,68.87,0.800,10.000,22.181,93.77,12.0000,98.0334,0.0434,119.715645,192.604
DailyProfile_ClimateSweep,4440.00,30.310,20.155,68.84,0.800,10.000,22.186,93.77,12.0000,98.0732,0.0434,121.350198,195.234
DailyProfile_ClimateSweep,4500.00,30.318,20.159,68.81,0.800,10.000,22.191,93.76,12.0000,98.1136,0.0434,122.985425,197.865
DailyProfile_ClimateSweep,4560.00,30.327,20.163,68.77,0.800,10.000,22.196,93.75,12.0000,98.1545,0.0434,124.621333,200.497
DailyProfile_ClimateSweep,4620.00,30.335,20.168,68.74,0.800,10.000,22.201,93.75,12.0000,98.1959,0.0434,126.257931,203.130
DailyProfile_ClimateSweep,4680.00,30.344,20.172,68.71,0.800,10.000,22.206,93.74,12.0000,98.2378,0.0435,127.895228,205.764
DailyProfile_ClimateSweep,4740.00,30.353,20.176,68.68,0.800,10.000,22.212,93.74,12.0000,98.2803,0.0435,129.533233,208.399
DailyProfile_ClimateSweep,4800.00,30.362,20.181,68.64,0.800,10.000,22.217,93.73,12.0000,98.3233,0.0435,131.171955,211.036
DailyProfile_ClimateSweep,4860.00,30.371,20.185,68.61,0.800,10.000,22.223,93.72,12.0000,98.3668,0.0435,132.811401,213.674
DailyProfile_ClimateSweep,4920.00,30.380,20.190,68.58,0.800,10.000,22.228,93.72,12.0000,98.4108,0.0435,134.451580,216.312
DailyProfile_ClimateSweep,4980.00,30.389,20.195,68.54,0.800,10.000,22.234,93.71,12.0000,98.4553,0.0436,136.092502,218.952
DailyProfile_ClimateSweep,5040.00,30.399,20.199,68.51,0.800,10.000,22.239,93.70,12.0000,98.5004,0.0436,137.734175,221.594
DailyProfile_ClimateSweep,5100.00,30.408,20.204,68.47,0.800,10.000,22.245,93.69,12.0000,98.5459,0.0436,139.376607,224.236
DailyProfile_ClimateSweep,5160.00,30.417,20.209,68.43,0.800,10.000,22.250,93.69,12.0000,98.5920,0.0436,141.019807,226.880
DailyProfile_ClimateSweep,5220.00,30.427,20.214,68.40,0.800,10.000,22.256,93.68,12.0000,98.6386,0.0436,142.663784,229.525
DailyProfile_ClimateSweep,5280.00,30.437,20.218,68.36,0.800,10.000,22.262,93.67,12.0000,98.6857,0.0437,144.308545,232.171
DailyProfile_ClimateSweep,5340.00,30.447,20.223,68.32,0.800,10.000,22.268,93.66,12.0000,98.7333,0.0437,145.954100,234.818
DailyProfile_ClimateSweep,5400.00,30.457,20.228,68.29,0.800,10.000,22.274,93.66,12.0000,98.7814,0.0437,147.600457,237.467
DailyProfile_ClimateSweep,5460.00,30.467,20.233,68.25,0.800,10.000,22.280,93.65,12.0000,98.8301,0.0437,149.247625,240.117
DailyProfile_ClimateSweep,5520.00,30.477,20.238,68.21,0.800,10.000,22.286,93.64,12.0000,98.8792,0.0438,150.895611,242.768
DailyProfile_ClimateSweep,5580.00,30.487,20.244,68.17,0.800,10.000,22.292,93.63,12.0000,98.9288,0.0438,152.544425,245.421
DailyProfile_ClimateSweep,5640.00,30.498,20.249,68.13,0.800,10.000,22.299,93.63,12.0000,98.9790,0.0438,154.194075,248.075
DailyProfile_ClimateSweep,5700.00,30.508,20.254,68.09,0.800,10.000,22.305,93.62,12.0000,99.0297,0.0438,155.844570,250.730
DailyProfile_ClimateSweep,5760.00,30.519,20.259,68.05,0.800,10.000,22.311,93.61,12.0000,99.0808,0.0438,157.495917,253.387
DailyProfile_ClimateSweep,5820.00,30.529,20.265,68.01,0.800,10.000,22.318,93.60,12.0000,99.1325,0.0439,159.148125,256.045
DailyProfile_ClimateSweep,5880.00,30.540,20.270,67.97,0.800,10.000,22.324,93.59,12.0000,99.1847,0.0439,160.801203,258.705
DailyProfile_ClimateSweep,5940.00,30.551,20.276,67.93,0.800,10.000,22.331,93.59,12.0000,99.2373,0.0439,162.455159,261.366
DailyProfile_ClimateSweep,6000.00,30.562,20.281,67.89,0.800,10.000,22.337,93.58,12.0000,99.2905,0.0439,164.110001,264.028
DailyProfile_ClimateSweep,6060.00,30.573,20.287,67.85,0.800,10.000,22.344,93.57,12.0000,99.3442,0.0440,165.765738,266.692
DailyProfile_ClimateSweep,6120.00,30.584,20.292,67.81,0.800,10.000,22.351,93.56,12.0000,99.3984,0.0440,167.422377,269.357
DailyProfile_ClimateSweep,6180.00,30.596,20.298,67.77,0.800,10.000,22.357,93.55,12.0000,99.4531,0.0440,169.079928,272.024
DailyProfile_ClimateSweep,6240.00,30.607,20.304,67.72,0.800,10.000,22.364,93.54,12.0000,99.5082,0.0440,170.738399,274.692
DailyProfile_ClimateSweep,6300.00,30.619,20.309,67.68,0.800,10.000,22.371,93.54,12.0000,99.5639,0.0441,172.397797,277.362
DailyProfile_ClimateSweep,6360.00,30.630,20.315,67.64,0.800,10.000,22.378,93.53,12.0000,99.6200,0.0441,174.058131,280.033
DailyProfile_ClimateSweep,6420.00,30.642,20.321,67.59,0.800,10.000,22.385,93.52,12.0000,99.6767,0.0441,175.719409,282.706
DailyProfile_ClimateSweep,6480.00,30.654,20.327,67.55,0.800,10.000,22.392,93.51,12.0000,99.7338,0.0441,177.381640,285.380
DailyProfile_ClimateSweep,6540.00,30.666,20.333,67.50,0.800,10.000,22.400,93.50,12.0000,99.7915,0.0442,179.044831,288.056
DailyProfile_ClimateSweep,6600.00,30.678,20.339,67.46,0.800,10.000,22.407,93.49,12.0000,99.8496,0.0442,180.708991,290.734
DailyProfile_ClimateSweep,6660.00,30.690,20.345,67.41,0.800,10.000,22.414,93.48,12.0000,99.9082,0.0442,182.374129,293.413
DailyProfile_ClimateSweep,6720.00,30.702,20.351,67.37,0.800,10.000,22.421,93.47,12.0000,99.9673,0.0442,184.040251,296.093
DailyProfile_ClimateSweep,6780.00,30.715,20.357,67.32,0.800,10.000,22.429,93.46,12.0000,100.0269,0.0443,185.707366,298.775
DailyProfile_ClimateSweep,6840.00,30.727,20.364,67.27,0.800,10.000,22.436,93.45,12.0000,100.0870,0.0443,187.375483,301.459
DailyProfile_ClimateSweep,6900.00,30.740,20.370,67.23,0.800,10.000,22.444,93.45,12.0000,100.1476,0.0443,189.044609,304.144
DailyProfile_ClimateSweep,6960.00,30.752,20.376,67.18,0.800,10.000,22.451,93.44,12.0000,100.2086,0.0443,190.714753,306.831
DailyProfile_ClimateSweep,7020.00,30.765,20.383,67.13,0.800,10.000,22.459,93.43,12.0000,100.2701,0.0444,192.385922,309.520
DailyProfile_ClimateSweep,7080.00,30.778,20.389,67.08,0.800,10.000,22.467,93.42,12.0000,100.3322,0.0444,194.058125,312.210
DailyProfile_ClimateSweep,7140.00,30.791,20.395,67.03,0.800,10.000,22.474,93.41,12.0000,100.3946,0.0444,195.731369,314.902
