scenario,time_s,T_in_C,T_wb_C,RH_in_percent,efficiency,V_air_m3s,T_out_C,RH_out_percent,m_air_kg_s,Q_kW,m_water_kg_s,cum_Q_kWh,cum_water_kg
Eta0.7,0.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.023473,0.038
Eta0.7,1.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.046947,0.076
Eta0.7,2.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.070420,0.113
Eta0.7,3.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.093893,0.151
Eta0.7,4.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.117367,0.189
Eta0.7,5.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.140840,0.227
Eta0.7,6.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.164313,0.264
Eta0.7,7.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.187787,0.302
Eta0.7,8.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.211260,0.340
Eta0.7,9.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.234733,0.378
Eta0.7,10.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.258207,0.415
Eta0.7,11.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.281680,0.453
Eta0.7,12.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.305153,0.491
Eta0.7,13.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.328627,0.529
Eta0.7,14.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.352100,0.566
Eta0.7,15.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.375573,0.604
Eta0.7,16.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.399047,0.642
Eta0.7,17.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.422520,0.680
Eta0.7,18.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.445993,0.718
Eta0.7,19.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.469467,0.755
Eta0.7,20.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.492940,0.793
Eta0.7,21.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.516413,0.831
Eta0.7,22.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.539887,0.869
Eta0.7,23.00,35.000,25.000,40.00,0.700,10.000,28.000,82.00,12.0000,84.5040,0.0374,0.563360,0.906
