scenario,time_s,T_in_C,T_wb_C,RH_in_percent,efficiency,V_air_m3s,T_out_C,RH_out_percent,m_air_kg_s,Q_kW,m_water_kg_s,cum_Q_kWh,cum_water_kg
Fan_Darcy_ThickPad,0.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,0.321920,0.518
Fan_Darcy_ThickPad,10.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,0.643840,1.036
Fan_Darcy_ThickPad,20.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,0.965760,1.554
Fan_Darcy_ThickPad,30.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,1.287680,2.072
Fan_Darcy_ThickPad,40.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,1.609600,2.590
Fan_Darcy_ThickPad,50.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,1.931520,3.108
Fan_Darcy_ThickPad,60.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,2.253440,3.625
Fan_Darcy_ThickPad,70.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,2.575360,4.143
Fan_Darcy_ThickPad,80.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,2.897280,4.661
Fan_Darcy_ThickPad,90.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,3.219200,5.179
Fan_Darcy_ThickPad,100.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,3.541120,5.697
Fan_Darcy_ThickPad,110.00,35.000,25.000,40.00,0.800,12.000,27.000,88.00,14.4000,115.8912,0.0513,3.863040,6.215
