scenario,time_s,T_in_C,T_wb_C,RH_in_percent,efficiency,V_air_m3s,T_out_C,RH_out_percent,m_air_kg_s,Q_kW,m_water_kg_s,cum_Q_kWh,cum_water_kg
Flow5,0.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.013413,0.022
Flow5,1.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.026827,0.043
Flow5,2.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.040240,0.065
Flow5,3.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.053653,0.086
Flow5,4.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.067067,0.108
Flow5,5.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.080480,0.129
Flow5,6.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.093893,0.151
Flow5,7.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.107307,0.173
Flow5,8.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.120720,0.194
Flow5,9.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.134133,0.216
Flow5,10.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.147547,0.237
Flow5,11.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.160960,0.259
Flow5,12.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.174373,0.281
Flow5,13.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.187787,0.302
Flow5,14.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.201200,0.324
Flow5,15.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.214613,0.345
Flow5,16.00,35.000,25.000,40.00,0.800,5.000,27.000,88.00,6.0000,48.2880,0.0214,0.228027,0.367
