scenario,time_s,T_in_C,T_wb_C,RH_in_percent,efficiency,V_air_m3s,T_out_C,RH_out_percent,m_air_kg_s,Q_kW,m_water_kg_s,cum_Q_kWh,cum_water_kg
Hybrid_DEC_IEC,0.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.268267,0.432
Hybrid_DEC_IEC,10.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.536533,0.863
Hybrid_DEC_IEC,20.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.804800,1.295
Hybrid_DEC_IEC,30.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.073067,1.726
Hybrid_DEC_IEC,40.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.341333,2.158
Hybrid_DEC_IEC,50.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.609600,2.590
Hybrid_DEC_IEC,60.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.877867,3.021
Hybrid_DEC_IEC,70.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.146133,3.453
Hybrid_DEC_IEC,80.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.414400,3.884
Hybrid_DEC_IEC,90.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.682667,4.316
Hybrid_DEC_IEC,100.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.950933,4.748
Hybrid_DEC_IEC,110.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.219200,5.179
Hybrid_DEC_IEC,120.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.487467,5.611
Hybrid_DEC_IEC,130.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.755733,6.042
Hybrid_DEC_IEC,140.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.024000,6.474
Hybrid_DEC_IEC,150.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.292267,6.906
Hybrid_DEC_IEC,160.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.560533,7.337
Hybrid_DEC_IEC,170.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.828800,7.769
Hybrid_DEC_IEC,180.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,5.097067,8.200
Hybrid_DEC_IEC,190.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,5.365333,8.632
Hybrid_DEC_IEC,200.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,5.633600,9.064
Hybrid_DEC_IEC,210.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,5.901867,9.495
Hybrid_DEC_IEC,220.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,6.170133,9.927
Hybrid_DEC_IEC,230.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,6.438400,10.358
Hybrid_DEC_IEC,240.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,6.706667,10.790
Hybrid_DEC_IEC,250.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,6.974933,11.222
Hybrid_DEC_IEC,260.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,7.243200,11.653
Hybrid_DEC_IEC,270.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,7.511467,12.085
Hybrid_DEC_IEC,280.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,7.779733,12.516
Hybrid_DEC_IEC,290.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,8.048000,12.948
Hybrid_DEC_IEC,300.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,8.316267,13.380
Hybrid_DEC_IEC,310.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,8.584533,13.811
Hybrid_DEC_IEC,320.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,8.852800,14.243
Hybrid_DEC_IEC,330.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,9.121067,14.674
Hybrid_DEC_IEC,340.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,9.389333,15.106
Hybrid_DEC_IEC,350.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,9.657600,15.538
Hybrid_DEC_IEC,360.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,9.925867,15.969
Hybrid_DEC_IEC,370.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,10.194133,16.401
Hybrid_DEC_IEC,380.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,10.462400,16.832
Hybrid_DEC_IEC,390.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,10.730667,17.264
Hybrid_DEC_IEC,400.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,10.998933,17.696
Hybrid_DEC_IEC,410.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,11.267200,18.127
Hybrid_DEC_IEC,420.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,11.535467,18.559
