scenario,time_s,T_in_C,T_wb_C,RH_in_percent,efficiency,V_air_m3s,T_out_C,RH_out_percent,m_air_kg_s,Q_kW,m_water_kg_s,cum_Q_kWh,cum_water_kg
Inlet30,0.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.021461,0.035
Inlet30,1.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.042923,0.069
Inlet30,2.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.064384,0.104
Inlet30,3.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.085845,0.138
Inlet30,4.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.107307,0.173
Inlet30,5.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.128768,0.207
Inlet30,6.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.150229,0.242
Inlet30,7.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.171691,0.276
Inlet30,8.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.193152,0.311
Inlet30,9.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.214613,0.345
Inlet30,10.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.236075,0.380
Inlet30,11.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.257536,0.414
Inlet30,12.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.278997,0.449
Inlet30,13.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.300459,0.483
Inlet30,14.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.321920,0.518
Inlet30,15.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.343381,0.552
Inlet30,16.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.364843,0.587
Inlet30,17.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.386304,0.622
Inlet30,18.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.407765,0.656
Inlet30,19.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.429227,0.691
Inlet30,20.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.450688,0.725
Inlet30,21.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.472149,0.760
Inlet30,22.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.493611,0.794
Inlet30,23.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.515072,0.829
Inlet30,24.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.536533,0.863
Inlet30,25.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.557995,0.898
Inlet30,26.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.579456,0.932
Inlet30,27.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.600917,0.967
Inlet30,28.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.622379,1.001
Inlet30,29.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.643840,1.036
Inlet30,30.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.665301,1.070
Inlet30,31.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.686763,1.105
Inlet30,32.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.708224,1.139
Inlet30,33.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.729685,1.174
Inlet30,34.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.751147,1.208
Inlet30,35.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.772608,1.243
Inlet30,36.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.794069,1.278
Inlet30,37.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.815531,1.312
Inlet30,38.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.836992,1.347
Inlet30,39.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.858453,1.381
Inlet30,40.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.879915,1.416
Inlet30,41.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.901376,1.450
Inlet30,42.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.922837,1.485
Inlet30,43.00,30.000,22.000,40.00,0.800,10.000,23.600,88.00,12.0000,77.2608,0.0342,0.944299,1.519
