scenario,mode,duration_s,dt_s,T_in_C,RH_in_percent,T_wb_C,eta,V_air_m3s,fan_useDarcy,Pad_L_m,Pad_D_m,Area_m2,eta_fan,deltaP_Pa,driftFrac,recoveryFrac,P_IT_kW,PUE_air,PUE_liquid,cumQ_kWh,fan_kWh,water_kg,PUE_evap,CO2_savings_kg
Base_35C_RH40_Eta0.8_Flow10,DEC,600,1,35.00,40.0,25.00,0.800,10.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,16.1228,0.4174,25.94,1.025,2.81
Eta0.7,DEC,600,1,35.00,40.0,25.00,0.700,10.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,14.1075,0.4174,22.70,1.025,2.81
Eta0.9,DEC,600,1,35.00,40.0,25.00,0.900,10.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,18.1382,0.4174,29.18,1.025,2.81
Flow5,DEC,600,1,35.00,40.0,25.00,0.800,5.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,8.0614,0.2087,12.97,1.013,2.91
Flow20,DEC,600,1,35.00,40.0,25.00,0.800,20.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,32.2457,0.8347,51.88,1.050,2.62
Inlet30,DEC,600,1,30.00,40.0,22.00,0.800,10.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,12.8983,0.4174,20.75,1.025,2.81
Inlet40,DEC,600,1,40.00,40.0,28.00,0.800,10.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,19.3474,0.4174,31.13,1.025,2.81
DailyProfile_ClimateSweep,DEC,86400,60,35.00,40.0,25.00,0.800,10.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,3014.7808,60.0417,4850.33,1.025,404.98
Fan_Darcy_ThickPad,DEC,3600,10,35.00,40.0,25.00,0.800,12.00,true,0.100,0.050,2.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,116.2131,0.2166,186.97,1.002,17.90
Hybrid_DEC_IEC,HYBRID,3600,10,35.00,40.0,25.00,0.800,10.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,96.8443,2.5069,155.81,1.025,16.87
Control_PID_Fault,DEC,3600,5,36.00,45.0,26.00,0.750,8.00,false,0.050,0.020,1.000,0.60,150.0,0.010,0.000,100.0,1.400,1.100,75.7487,2.0916,121.87,1.021,17.06
