time_s,Tdb,RH,P_kPa
0,26.0,60,101.325
3600,26.5,62,101.325
7200,27.0,64,101.325
10800,27.5,66,101.325
14400,28.0,68,101.325
18000,28.5,70,101.325
21600,29.0,72,101.325
25200,30.0,74,101.325
28800,31.0,75,101.325
32400,32.0,76,101.325
36000,33.0,78,101.325
39600,34.0,80,101.325
43200,35.0,82,101.325
46800,35.5,83,101.325
50400,36.0,84,101.325
54000,35.5,82,101.325
57600,35.0,80,101.325
61200,34.0,78,101.325
64800,33.0,76,101.325
68400,32.0,74,101.325
72000,31.0,72,101.325
75600,30.0,70,101.325
79200,29.0,68,101.325
82800,28.0,65,101.325
