tempC,rh,itLoadKW,electricityPrice,waterPrice,carbonFactor,bestTechnique
36.8269,67.8256,755.6950,0.1054,1.7642,0.6969,ChilledWater
26.0635,39.3024,1034.5764,0.2066,2.3225,0.4401,Evaporative
37.4972,47.0597,519.2813,0.1689,0.7615,0.6543,ChilledWater
20.1665,61.1199,1552.3047,0.1642,1.5761,0.6139,AirEconomizer
15.9425,45.0544,1672.0345,0.1335,2.4429,0.5924,AirEconomizer
29.4172,40.4160,1909.7482,0.2141,1.7006,0.4030,Evaporative
25.8076,50.4263,1023.1708,0.1445,1.3318,0.6550,Evaporative
19.5309,78.3706,1028.5515,0.1061,0.7311,0.2986,Evaporative
40.9706,54.0613,957.7491,0.1766,1.8397,0.3734,ChilledWater
32.1486,45.9709,1769.2663,0.2111,1.6557,0.4059,Evaporative
35.9175,83.6030,553.0647,0.2118,1.6815,0.4549,ChilledWater
24.1674,57.7937,1343.1998,0.0753,1.3941,0.2150,Evaporative
16.0945,53.8691,1379.0961,0.1292,2.3684,0.4115,AirEconomizer
34.3870,73.9326,1809.2770,0.1698,2.4473,0.2424,ChilledWater
38.2536,39.5176,1818.5696,0.1248,1.2489,0.3828,ChilledWater
24.4544,50.9915,373.6116,0.1990,0.6759,0.6430,Evaporative
19.1937,26.5063,248.6538,0.1597,0.9208,0.7321,AirEconomizer
42.1350,44.0760,225.3005,0.2119,1.4473,0.6593,ChilledWater
32.5038,68.1772,1201.4880,0.0732,1.5947,0.6923,Evaporative
33.7943,46.7807,1826.5252,0.2167,0.8724,0.7292,ChilledWater
26.9261,60.1474,664.6970,0.2143,1.7502,0.5378,Evaporative
29.6459,45.3029,1528.3669,0.2211,1.0474,0.6169,Evaporative
36.7823,55.5994,1595.7379,0.1252,2.1982,0.5834,ChilledWater
19.8039,76.0043,1505.8092,0.2090,2.1111,0.6677,Evaporative
44.5494,29.0389,1305.3707,0.1586,0.6360,0.4940,ChilledWater
31.4698,42.9992,1496.2244,0.1276,0.3335,0.2566,Evaporative
18.1157,32.1258,1815.7409,0.1338,2.1644,0.3851,AirEconomizer
27.6961,23.6685,1285.2100,0.0832,1.3609,0.5150,Evaporative
30.5190,69.7817,1417.5042,0.2202,2.0255,0.3594,Evaporative
26.0846,55.3741,711.9610,0.2450,1.5582,0.2674,Evaporative
28.0381,58.4418,1238.1238,0.1955,1.6113,0.6499,Evaporative
41.5129,46.0978,1363.4346,0.2180,0.5131,0.7023,ChilledWater
33.4027,61.0420,489.9104,0.2499,1.5968,0.6286,Evaporative
30.5244,25.2300,1092.3849,0.0852,1.3941,0.5790,Evaporative
34.5848,45.1200,1191.5761,0.2034,1.4566,0.2974,ChilledWater
36.3779,58.3045,1028.9140,0.1178,0.3902,0.6387,ChilledWater
36.1501,41.2581,1351.0133,0.1632,1.4366,0.4944,ChilledWater
22.9201,31.1058,1458.5073,0.1286,1.3003,0.3474,Evaporative
29.4729,49.0087,1259.7092,0.0822,0.8734,0.4812,Evaporative
22.4285,64.2679,811.5911,0.1811,2.0896,0.7420,Evaporative
30.2574,86.4159,680.6490,0.1787,2.3784,0.5244,Evaporative
37.3659,29.2406,1450.4702,0.0785,1.4823,0.2365,ChilledWater
36.7590,67.2867,1711.7586,0.1461,1.0347,0.6446,ChilledWater
38.5953,40.3178,1149.0749,0.1344,2.4193,0.7193,ChilledWater
39.8643,77.4622,1775.8809,0.1190,2.1958,0.4314,ChilledWater
33.0260,85.3013,1939.2645,0.1746,0.6799,0.4364,Evaporative
16.7615,47.5029,325.9752,0.0701,2.3158,0.3112,AirEconomizer
31.8897,59.3191,344.5079,0.1334,1.5323,0.2551,Evaporative
33.3251,84.4265,260.6770,0.0859,2.4944,0.6078,Evaporative
16.8956,42.3220,1337.5807,0.1955,0.3633,0.6469,AirEconomizer
26.5383,79.4225,1120.5474,0.2126,2.4748,0.5025,Evaporative
15.3662,30.8511,443.4871,0.1850,1.8172,0.7061,AirEconomizer
27.2897,81.8210,1879.2889,0.0789,1.2974,0.2813,Evaporative
37.1296,38.7981,262.1379,0.2259,1.4693,0.6914,ChilledWater
15.7080,51.9991,756.8991,0.0811,1.6796,0.4539,AirEconomizer
35.4221,60.0778,1307.3850,0.1916,1.8520,0.4856,ChilledWater
35.8368,37.3904,563.1790,0.1679,1.6696,0.6833,ChilledWater
31.3546,88.3814,449.8317,0.1159,2.1617,0.5655,Evaporative
23.9031,36.2937,1630.2073,0.1799,1.0023,0.2948,Evaporative
26.5991,65.5047,1410.4123,0.1707,0.7775,0.6114,Evaporative
34.6954,33.7803,211.3393,0.0879,1.2744,0.3141,ChilledWater
31.8760,30.1214,480.0484,0.2108,1.2452,0.5106,Evaporative
23.6457,82.6608,311.9821,0.1294,1.3498,0.6904,Evaporative
29.5506,43.3162,937.7682,0.0509,0.3981,0.7244,Evaporative
28.0962,30.1955,273.8440,0.1685,0.9074,0.3221,Evaporative
37.1968,55.6991,305.4865,0.1776,1.4171,0.7404,ChilledWater
39.9340,28.0215,1259.5533,0.1978,1.5495,0.4850,ChilledWater
25.3394,73.4906,1412.2200,0.0984,1.6670,0.6772,Evaporative
43.2905,78.6182,678.4815,0.1647,2.4025,0.2044,ChilledWater
36.7597,77.5964,1843.8305,0.2063,0.4871,0.5869,ChilledWater
15.3280,66.5445,1757.3088,0.2341,1.4614,0.6711,AirEconomizer
26.7287,20.3868,1926.4569,0.0750,1.5615,0.3757,Evaporative
35.2755,76.6569,1090.3083,0.2024,2.0540,0.4725,ChilledWater
23.3288,69.6485,532.6212,0.1130,1.0486,0.2686,Evaporative
36.8250,54.5545,704.5251,0.2427,1.1342,0.5964,ChilledWater
