tempC,rh,itLoadKW,electricityPrice,waterPrice,carbonFactor,air_feasible,air_energyKWh,air_costUSD,air_carbonKg,air_waterL,air_pue,air_violations,evap_feasible,evap_energyKWh,evap_costUSD,evap_carbonKg,evap_waterL,evap_pue,evap_violations,chill_feasible,chill_energyKWh,chill_costUSD,chill_carbonKg,chill_waterL,chill_pue,chill_violations,bestTechnique
36.8269,67.8256,755.6950,0.1054,1.7642,0.6969,true,1700140.8145,652244.8567,4311691.0691,0.0000,1.3789,0,true,183543.7957,509727.5038,3447671.1983,9837719.5308,1.0409,11,true,590588.2080,557960.0554,3582446.0923,9086618.5325,1.1316,0,ChilledWater
26.0635,39.3024,1034.5764,0.2066,2.3225,0.4401,true,1700259.9222,1620297.8322,3451656.9720,0.0000,1.2768,0,true,251278.4310,1343404.9726,2980714.7526,9661161.7908,1.0409,0,true,797581.5446,1475743.6070,3082171.3632,12439912.2753,1.1298,0,Evaporative
37.4972,47.0597,519.2813,0.1689,0.7615,0.6543,true,1168151.0086,717913.1805,2781531.1660,0.0000,1.3789,0,true,126117.1068,547116.3943,2224143.9099,6791250.5640,1.0409,11,true,415072.2836,606145.9832,2330072.7175,6243331.4426,1.1346,0,ChilledWater
20.1665,61.1199,1552.3047,0.1642,1.5761,0.6139,true,947776.5421,1668941.1586,6239220.6893,0.0000,1.1028,0,true,376991.3297,1593648.1510,6237699.7433,11696630.7259,1.0409,9,true,1181652.9523,1747114.8072,6421511.5195,18661993.4407,1.1282,0,AirEconomizer
15.9425,45.0544,1672.0345,0.1335,2.4429,0.5924,true,520037.4144,1395110.0813,6188719.2938,0.0000,1.0524,0,true,406083.0842,1405165.2121,6483856.6564,10345298.8855,1.0409,15,true,1270592.3661,1552868.4036,6670690.2915,20102762.2352,1.1280,0,AirEconomizer
29.4172,40.4160,1909.7482,0.2141,1.7006,0.4030,true,3845729.9369,3250742.9725,6119169.1156,0.0000,1.3392,0,true,463795.3071,2560471.9830,5037964.5443,19872589.8882,1.0409,0,true,1446887.0610,2789702.3955,5177814.1610,22958799.4914,1.1276,0,Evaporative
25.8076,50.4263,1023.1708,0.1445,1.3318,0.6550,true,1659870.8300,1117822.2497,5065835.4700,0.0000,1.2733,0,true,248475.6250,926481.1246,4386678.4730,9504579.0257,1.0409,0,true,788912.5930,1017433.5411,4536647.9026,12299660.4458,1.1299,0,Evaporative
19.5309,78.3706,1028.5515,0.1061,0.7311,0.2986,true,1178783.1080,773178.1769,2175683.1372,0.0000,1.1930,0,true,249817.1207,680151.2075,2010754.9079,7590666.2562,1.0409,9,true,793122.3205,747989.1219,2079357.9987,12367661.3328,1.1299,0,Evaporative
40.9706,54.0613,957.7491,0.1766,1.8397,0.3734,true,2154200.8730,1384309.9205,2927633.0160,0.0000,1.3789,0,true,232589.9627,1070258.1438,2340974.5602,13727683.1521,1.0409,17,true,740378.7239,1166983.6960,2423221.5132,11513400.1892,1.1302,0,ChilledWater
32.1486,45.9709,1769.2663,0.2111,1.6557,0.4059,true,3854850.2240,3031913.2047,5828409.4104,0.0000,1.3670,0,true,429694.9592,2341831.1003,4701077.2632,20007835.3200,1.0409,0,true,1342737.8450,2550026.2953,4834349.6860,21271527.4814,1.1278,0,Evaporative
