scenario,time_s,host_id,host_temp_C,bath_temp_C,flow_rate_m3s,pump_power_W,chiller_power_W,cooling_energy_J,pump_energy_J,chiller_energy_J,total_cooling_energy_J,cop_inst
H2V4_Medium_25C_Flow0.01,5.100,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,16.667,0.000,16.667,0.000000
H2V4_Medium_25C_Flow0.01,5.100,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,33.333,0.000,33.333,0.000000
H2V4_Medium_25C_Flow0.01,5.200,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,50.000,0.000,50.000,0.000000
H2V4_Medium_25C_Flow0.01,5.200,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,66.667,0.000,66.667,0.000000
H2V4_Medium_25C_Flow0.01,10.200,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,83.333,0.000,83.333,0.000000
H2V4_Medium_25C_Flow0.01,10.200,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,100.000,0.000,100.000,0.000000
H2V4_Medium_25C_Flow0.01,10.300,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,116.667,0.000,116.667,0.000000
H2V4_Medium_25C_Flow0.01,10.300,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,133.333,0.000,133.333,0.000000
H2V4_Medium_25C_Flow0.01,15.300,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,150.000,0.000,150.000,0.000000
H2V4_Medium_25C_Flow0.01,15.300,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,166.667,0.000,166.667,0.000000
H2V4_Medium_25C_Flow0.01,15.400,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,183.333,0.000,183.333,0.000000
H2V4_Medium_25C_Flow0.01,15.400,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,200.000,0.000,200.000,0.000000
H2V4_Medium_25C_Flow0.01,20.400,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,216.667,0.000,216.667,0.000000
H2V4_Medium_25C_Flow0.01,20.400,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,233.333,0.000,233.333,0.000000
H2V4_Medium_25C_Flow0.01,20.500,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,250.000,0.000,250.000,0.000000
H2V4_Medium_25C_Flow0.01,20.500,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,266.667,0.000,266.667,0.000000
H2V4_Medium_25C_Flow0.01,25.500,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,283.333,0.000,283.333,0.000000
H2V4_Medium_25C_Flow0.01,25.500,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,300.000,0.000,300.000,0.000000
H2V4_Medium_25C_Flow0.01,25.600,0,35.0000,25.0000,0.010000,16.667,0.000,0.000,316.667,0.000,316.667,0.000000
H2V4_Medium_25C_Flow0.01,25.600,1,35.0000,25.0000,0.010000,16.667,0.000,0.000,333.333,0.000,333.333,0.000000
H2V4_Medium_25C_Flow0.01,150.600,0,35.0000,25.0050,0.010000,16.667,100.000,500.000,350.000,100.000,950.000,4.285714
H2V4_Medium_25C_Flow0.01,150.600,1,35.0000,25.0100,0.010000,16.667,100.000,500.000,366.667,200.000,1566.667,4.285714
H2V4_Medium_25C_Flow0.01,275.000,0,35.0000,25.0150,0.010000,16.667,100.000,500.000,383.333,300.000,2183.333,4.285714
H2V4_Medium_25C_Flow0.01,275.000,1,35.0000,25.0200,0.010000,16.667,100.000,500.000,400.000,400.000,2800.000,4.285714
H2V4_Medium_25C_Flow0.01,275.600,0,35.0000,25.0250,0.010000,16.667,100.000,500.000,416.667,500.000,3416.667,4.285714
H2V4_Medium_25C_Flow0.01,275.600,1,35.0000,25.0300,0.010000,16.667,100.000,500.000,433.333,600.000,4033.333,4.285714
H2V4_Medium_25C_Flow0.01,275.710,0,35.0000,25.0350,0.010000,16.667,100.000,500.000,450.000,700.000,4650.000,4.285714
H2V4_Medium_25C_Flow0.01,275.710,1,35.0000,25.0400,0.010000,16.667,100.000,500.000,466.667,800.000,5266.667,4.285714
H2V4_Medium_25C_Flow0.01,2305843409.104,0,35.0000,25.0450,0.010000,16.667,100.000,500.000,483.333,900.000,5883.333,4.285714
H2V4_Medium_25C_Flow0.01,2305843409.104,1,35.0000,25.0500,0.010000,16.667,100.000,500.000,500.000,1000.000,6500.000,4.285714
H2V4_Medium_25C_Flow0.01,2305843409.814,0,35.0000,25.0500,0.010000,16.667,0.000,0.000,516.667,1000.000,6516.667,0.000000
H2V4_Medium_25C_Flow0.01,2305843409.814,1,35.0000,25.0500,0.010000,16.667,0.000,0.000,533.333,1000.000,6533.333,0.000000
