scenario,time_s,host_id,host_temp_C,bath_temp_C,flow_rate_m3s,pump_power_W,chiller_power_W,cooling_energy_J,pump_energy_J,chiller_energy_J,total_cooling_energy_J,cop_inst
H4V8_Heavy_30C_Flow0.02,5.100,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,33.333,0.000,33.333,0.000000
H4V8_Heavy_30C_Flow0.02,5.100,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,66.667,0.000,66.667,0.000000
H4V8_Heavy_30C_Flow0.02,5.100,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,100.000,0.000,100.000,0.000000
H4V8_Heavy_30C_Flow0.02,5.100,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,133.333,0.000,133.333,0.000000
H4V8_Heavy_30C_Flow0.02,5.200,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,166.667,0.000,166.667,0.000000
H4V8_Heavy_30C_Flow0.02,5.200,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,200.000,0.000,200.000,0.000000
H4V8_Heavy_30C_Flow0.02,5.200,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,233.333,0.000,233.333,0.000000
H4V8_Heavy_30C_Flow0.02,5.200,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,266.667,0.000,266.667,0.000000
H4V8_Heavy_30C_Flow0.02,10.200,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,300.000,0.000,300.000,0.000000
H4V8_Heavy_30C_Flow0.02,10.200,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,333.333,0.000,333.333,0.000000
H4V8_Heavy_30C_Flow0.02,10.200,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,366.667,0.000,366.667,0.000000
H4V8_Heavy_30C_Flow0.02,10.200,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,400.000,0.000,400.000,0.000000
H4V8_Heavy_30C_Flow0.02,10.300,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,433.333,0.000,433.333,0.000000
H4V8_Heavy_30C_Flow0.02,10.300,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,466.667,0.000,466.667,0.000000
H4V8_Heavy_30C_Flow0.02,10.300,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,500.000,0.000,500.000,0.000000
H4V8_Heavy_30C_Flow0.02,10.300,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,533.333,0.000,533.333,0.000000
H4V8_Heavy_30C_Flow0.02,15.300,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,566.667,0.000,566.667,0.000000
H4V8_Heavy_30C_Flow0.02,15.300,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,600.000,0.000,600.000,0.000000
H4V8_Heavy_30C_Flow0.02,15.300,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,633.333,0.000,633.333,0.000000
H4V8_Heavy_30C_Flow0.02,15.300,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,666.667,0.000,666.667,0.000000
H4V8_Heavy_30C_Flow0.02,15.400,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,700.000,0.000,700.000,0.000000
H4V8_Heavy_30C_Flow0.02,15.400,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,733.333,0.000,733.333,0.000000
H4V8_Heavy_30C_Flow0.02,15.400,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,766.667,0.000,766.667,0.000000
H4V8_Heavy_30C_Flow0.02,15.400,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,800.000,0.000,800.000,0.000000
H4V8_Heavy_30C_Flow0.02,20.400,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,833.333,0.000,833.333,0.000000
H4V8_Heavy_30C_Flow0.02,20.400,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,866.667,0.000,866.667,0.000000
H4V8_Heavy_30C_Flow0.02,20.400,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,900.000,0.000,900.000,0.000000
H4V8_Heavy_30C_Flow0.02,20.400,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,933.333,0.000,933.333,0.000000
H4V8_Heavy_30C_Flow0.02,20.500,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,966.667,0.000,966.667,0.000000
H4V8_Heavy_30C_Flow0.02,20.500,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,1000.000,0.000,1000.000,0.000000
H4V8_Heavy_30C_Flow0.02,20.500,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,1033.333,0.000,1033.333,0.000000
H4V8_Heavy_30C_Flow0.02,20.500,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,1066.667,0.000,1066.667,0.000000
H4V8_Heavy_30C_Flow0.02,25.500,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,1100.000,0.000,1100.000,0.000000
H4V8_Heavy_30C_Flow0.02,25.500,1,35.0000,30.0000,0.020000,33.333,0.000,0.000,1133.333,0.000,1133.333,0.000000
H4V8_Heavy_30C_Flow0.02,25.500,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,1166.667,0.000,1166.667,0.000000
H4V8_Heavy_30C_Flow0.02,25.500,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,1200.000,0.000,1200.000,0.000000
H4V8_Heavy_30C_Flow0.02,25.600,0,35.0000,30.0000,0.020000,33.333,0.000,0.000,1233.333,0.000,1233.333,0.000000
