scenario,hosts,vms,vm_pes,vm_mips,cloudlet_len,bath_setpoint_C,flow_m3s,coolant,cop,tank_JperK,parallel,IT_Wh,Imm_Wh,Air_Wh,PUE_Imm,PUE_Air,Savings_Wh,Cost_Imm_USD,CO2_Imm_kg
H1V1_Light_25C_Flow0.01,1,1,2,4000,50000,30.00,0.01000,water,5.00,50000,parallel,0.703,0.176,0.301,1.250,1.429,0.125,0.0000,0.0001
H2V4_Medium_25C_Flow0.01,2,4,2,4000,500000,30.00,0.01000,water,5.00,50000,parallel,256204821.851,1.815,109802066.508,1.000,1.429,109802064.693,0.0002,0.0008
H4V8_Heavy_30C_Flow0.02,4,8,2,4000,2000000,30.00,0.02000,water,5.00,50000,parallel,512409893.714,4.630,219604240.163,1.000,1.429,219604235.534,0.0005,0.0021
H2V2_20C_Flow0.01,2,2,2,4000,300000,20.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
H2V2_30C_Flow0.01,2,2,2,4000,300000,30.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
H2V2_25C_Flow0.005,2,2,2,4000,300000,25.00,0.00500,water,5.00,50000,parallel,8.351,0.343,3.579,1.041,1.429,3.236,0.0000,0.0002
H2V2_Fluorinert_25C_Flow0.01,2,2,2,4000,300000,25.00,0.01000,fluorinert,4.00,30000,parallel,8.351,0.366,3.579,1.044,1.429,3.213,0.0000,0.0002
H3V3_Series_25C_Tank150kJpK,3,3,2,4000,400000,25.00,0.01000,water,5.00,150000,series,16.693,0.528,7.154,1.032,1.429,6.626,0.0001,0.0002
H2V2_FailureBurst_25C,2,2,2,4000,300000,25.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
H1V1_Light_25C_Flow0.01,1,1,2,4000,50000,30.00,0.01000,water,5.00,50000,parallel,0.703,0.176,0.301,1.250,1.429,0.125,0.0000,0.0001
H2V4_Medium_25C_Flow0.01,2,4,2,4000,500000,30.00,0.01000,water,5.00,50000,parallel,256204821.851,1.815,109802066.508,1.000,1.429,109802064.693,0.0002,0.0008
H4V8_Heavy_30C_Flow0.02,4,8,2,4000,2000000,30.00,0.02000,water,5.00,50000,parallel,512409893.714,4.630,219604240.163,1.000,1.429,219604235.534,0.0005,0.0021
H2V2_20C_Flow0.01,2,2,2,4000,300000,20.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
H2V2_30C_Flow0.01,2,2,2,4000,300000,30.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
H2V2_25C_Flow0.005,2,2,2,4000,300000,25.00,0.00500,water,5.00,50000,parallel,8.351,0.343,3.579,1.041,1.429,3.236,0.0000,0.0002
H2V2_Fluorinert_25C_Flow0.01,2,2,2,4000,300000,25.00,0.01000,fluorinert,4.00,30000,parallel,8.351,0.366,3.579,1.044,1.429,3.213,0.0000,0.0002
H3V3_Series_25C_Tank150kJpK,3,3,2,4000,400000,25.00,0.01000,water,5.00,150000,series,16.693,0.528,7.154,1.032,1.429,6.626,0.0001,0.0002
H2V2_FailureBurst_25C,2,2,2,4000,300000,25.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
H1V1_Light_25C_Flow0.01,1,1,2,4000,50000,30.00,0.01000,water,5.00,50000,parallel,0.703,0.176,0.301,1.250,1.429,0.125,0.0000,0.0001
H2V4_Medium_25C_Flow0.01,2,4,2,4000,500000,30.00,0.01000,water,5.00,50000,parallel,256204821.851,1.815,109802066.508,1.000,1.429,109802064.693,0.0002,0.0008
H4V8_Heavy_30C_Flow0.02,4,8,2,4000,2000000,30.00,0.02000,water,5.00,50000,parallel,512409893.714,4.630,219604240.163,1.000,1.429,219604235.534,0.0005,0.0021
H2V2_20C_Flow0.01,2,2,2,4000,300000,20.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
H2V2_30C_Flow0.01,2,2,2,4000,300000,30.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
H2V2_25C_Flow0.005,2,2,2,4000,300000,25.00,0.00500,water,5.00,50000,parallel,8.351,0.343,3.579,1.041,1.429,3.236,0.0000,0.0002
H2V2_Fluorinert_25C_Flow0.01,2,2,2,4000,300000,25.00,0.01000,fluorinert,4.00,30000,parallel,8.351,0.366,3.579,1.044,1.429,3.213,0.0000,0.0002
H3V3_Series_25C_Tank150kJpK,3,3,2,4000,400000,25.00,0.01000,water,5.00,150000,series,16.693,0.528,7.154,1.032,1.429,6.626,0.0001,0.0002
H2V2_FailureBurst_25C,2,2,2,4000,300000,25.00,0.01000,water,5.00,50000,parallel,8.351,0.352,3.579,1.042,1.429,3.227,0.0000,0.0002
