site,containment,cfm_per_kw,fan_w_per_cfm,cop,electricity_usd_per_kwh,baseline_it_kw,pue,fan_it_pct,cool_it_pct,total_power_kw,annual_cost_usd,annual_co2_t
DEN,0.60,250.0,0.120,3.30,0.07,572.0,1.382,3.450,27.723,790.349,484641.72,2284.740
DEN,0.60,250.0,0.120,3.30,0.25,572.0,1.382,3.450,27.723,790.349,1730863.29,2284.740
DEN,0.60,250.0,0.120,5.50,0.07,572.0,1.279,3.450,17.479,731.753,448710.86,2115.351
DEN,0.60,250.0,0.120,5.50,0.25,572.0,1.279,3.450,17.479,731.753,1602538.77,2115.351
DEN,0.60,250.0,0.250,3.30,0.07,572.0,1.419,7.187,27.723,811.727,497751.02,2346.541
DEN,0.60,250.0,0.250,3.30,0.25,572.0,1.419,7.187,27.723,811.727,1777682.21,2346.541
DEN,0.60,250.0,0.250,5.50,0.07,572.0,1.317,7.187,17.479,753.131,461820.15,2177.152
DEN,0.60,250.0,0.250,5.50,0.25,572.0,1.317,7.187,17.479,753.131,1649357.69,2177.152
DEN,0.60,320.0,0.120,3.30,0.07,572.0,1.391,4.416,27.723,795.874,488029.97,2300.713
DEN,0.60,320.0,0.120,3.30,0.25,572.0,1.391,4.416,27.723,795.874,1742964.18,2300.713
DEN,0.60,320.0,0.120,5.50,0.07,572.0,1.289,4.416,17.479,737.278,452099.10,2131.324
DEN,0.60,320.0,0.120,5.50,0.25,572.0,1.289,4.416,17.479,737.278,1614639.66,2131.324
DEN,0.60,320.0,0.250,3.30,0.07,572.0,1.439,9.200,27.723,823.239,504809.87,2379.818
DEN,0.60,320.0,0.250,3.30,0.25,572.0,1.439,9.200,27.723,823.239,1802892.39,2379.818
DEN,0.60,320.0,0.250,5.50,0.07,572.0,1.337,9.200,17.479,764.643,468879.00,2210.430
DEN,0.60,320.0,0.250,5.50,0.25,572.0,1.337,9.200,17.479,764.643,1674567.87,2210.430
