hour,it_kW,crah_kW,chiller_kW,pump_kW,tower_kW,total_kW,pue,ambientC,wetbulbC,costUSD,co2kg
0,2.500,0.000,0.000,0.000,0.000,0.536,1.214,20.00,18.00,0.0536,0.2412
1,3.500,0.000,0.000,0.000,0.000,0.748,1.214,21.55,19.55,0.0748,0.3364
2,5.000,0.000,0.000,0.000,0.000,1.065,1.213,23.00,21.00,0.1065,0.4793
3,4.500,0.000,0.000,0.000,0.000,0.959,1.213,24.24,22.24,0.0959,0.4316
4,3.000,0.000,0.000,0.000,0.000,0.642,1.214,25.20,23.20,0.0642,0.2888
5,2.000,0.000,0.000,0.000,0.000,0.430,1.215,25.80,23.80,0.0430,0.1935
6,2.500,0.000,0.000,0.000,0.000,0.536,1.214,26.00,24.00,0.0536,0.2412
7,3.500,0.000,0.000,0.000,0.000,0.748,1.214,25.80,23.80,0.0748,0.3364
8,5.000,0.000,0.000,0.000,0.000,1.065,1.213,25.20,23.20,0.1065,0.4793
9,4.500,0.000,0.000,0.000,0.000,0.959,1.213,24.24,22.24,0.0959,0.4316
10,3.000,0.000,0.000,0.000,0.000,0.642,1.214,23.00,21.00,0.0642,0.2888
11,2.000,0.000,0.000,0.000,0.000,0.430,1.215,21.55,19.55,0.0430,0.1935
12,2.500,0.000,0.000,0.000,0.000,0.536,1.214,20.00,18.00,0.0536,0.2412
13,3.500,0.000,0.000,0.000,0.000,0.748,1.214,18.45,16.45,0.0748,0.3364
14,5.000,0.000,0.000,0.000,0.000,1.065,1.213,17.00,15.00,0.1065,0.4793
15,4.500,0.000,0.000,0.000,0.000,0.959,1.213,15.76,13.76,0.0959,0.4316
16,3.000,0.000,0.000,0.000,0.000,0.642,1.214,14.80,12.80,0.0642,0.2888
17,2.000,0.000,0.000,0.000,0.000,0.430,1.215,14.20,12.20,0.0430,0.1935
18,2.500,0.000,0.000,0.000,0.000,0.536,1.214,14.00,12.00,0.0536,0.2412
19,3.500,0.000,0.000,0.000,0.000,0.748,1.214,14.20,12.20,0.0748,0.3364
20,5.000,0.000,0.000,0.000,0.000,1.065,1.213,14.80,12.80,0.1065,0.4793
21,4.500,0.000,0.000,0.000,0.000,0.959,1.213,15.76,13.76,0.0959,0.4316
22,3.000,0.000,0.000,0.000,0.000,0.642,1.214,17.00,15.00,0.0642,0.2888
23,2.000,0.000,0.000,0.000,0.000,0.430,1.215,18.45,16.45,0.0430,0.1935
