scn_id,scn_hosts,scn_vms,scn_workload_type,scn_ambient_temp_C,scn_airflow_cfm,scn_containment,scn_duration_s,scn_dt_s,scn_p_it_per_host_W,scn_p_lighting_W,scn_p_UPS_loss_W,scn_p_fans_W,scn_COP,scn_containment_eta_guess,scn_bypass_air_frac,scn_recirc_air_frac,scn_racks,scn_fan_k_cubic,scn_vfd_enabled,scn_vfd_min_frac,scn_vfd_max_frac,scn_rci_lo_C,scn_rci_hi_C,scn_f_friction,scn_duct_L_m,scn_duct_D_h_m,scn_flow_area_m2,scn_eta_fan0,scn_supply_pid_enabled,scn_Tin_target_C,scn_Kp_sup,scn_Ki_sup,scn_Kd_sup,scn_Tsupply_min_C,scn_Tsupply_max_C,scn_dynamic_load,scn_load_swing_frac,scn_burst_every_s,scn_burst_amp_frac,scn_outdoor_T_C,scn_outdoor_RH_percent,scn_heat_exchanger_eff,scn_kgCO2_per_kWh,t_s,T_cold_supply_C,T_hot_return_C,deltaT_C,eta_containment,Q_IT_J,Q_nonIT_J,airflow_cfm,P_cooling_W,PUE,savings_vs_open_Wh,BAF,RAF,RTI,RCI_percent,DCiE,CEI,P_fan_W,rack_inlet_C,rack_outlet_C,deltaT_rack_C,Tsupply_C
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,0,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,5,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,10,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,15,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,20,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,25,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,30,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,35,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,40,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
H2V4_Mixed_Medium_28C_Aisle,2,4,Mixed,28,900,Hot,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,45,29.0,29.703470493554306,2.00848503774995,0.8000000000000033,2100.0,3600.0,900,285.0,3.393047201636853,0.2375000000000026,0.05,0.05,0.316100000000001,0.0,0.29472033266073816,0.0,0.07982468747827441,29.00;29.02;29.04;29.06;29.08;29.10,29.78;29.80;29.82;29.84;29.86;29.88,0.78;0.78;0.78;0.78;0.78;0.78,29.0
