scenario,avg_PUE,avg_DCiE,cooling_Wh,fan_Wh,CEI,avg_RTI,avg_RCI_percent,avg_eta,T_supply_C,T_return_C,deltaT_C,CO2_savings_kg
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
H1V1_IT_Light_25C_Aisle,6.250,0.160,31.5,0.0,1.250,0.20,0.0,0.85,27.50,27.94,1.98,0.01
H2V4_Mixed_Medium_28C_Aisle,3.393,0.295,47.9,0.0,0.679,0.32,0.0,0.80,29.00,29.70,2.01,0.01
H4V8_IT_Heavy_30C_Aisle,2.500,0.400,50.4,0.0,0.500,0.44,0.0,0.85,30.00,30.78,1.59,0.02
H4V8_NonIT_Heavy_30C_Aisle,10.627,0.094,42.9,0.0,2.125,0.13,0.0,0.80,30.00,30.19,1.35,0.01
