hour,it_kW,cooling_kW,ambientC,wetbulbC
0,250.000,133.424,20.00,18.00
1,350.000,159.660,21.55,19.55
2,500.000,213.595,23.00,21.00
3,450.000,193.188,24.24,22.24
4,300.000,145.946,25.20,23.20
5,200.000,122.375,25.80,23.80
6,250.000,133.822,26.00,24.00
7,350.000,160.031,25.80,23.80
8,500.000,213.707,25.20,23.20
9,450.000,193.188,24.24,22.24
10,300.000,145.861,23.00,21.00
11,200.000,122.085,21.55,19.55
12,250.000,133.424,20.00,18.00
13,350.000,159.660,18.45,16.45
14,500.000,213.595,17.00,15.00
15,450.000,193.188,15.76,13.76
16,300.000,145.861,14.80,12.80
17,200.000,122.085,14.20,12.20
18,250.000,133.424,14.00,12.00
19,350.000,159.660,14.20,12.20
20,500.000,213.595,14.80,12.80
21,450.000,193.188,15.76,13.76
22,300.000,145.861,17.00,15.00
23,200.000,122.085,18.45,16.45
24,250.000,133.424,20.00,18.00
25,350.000,159.660,21.55,19.55
26,500.000,213.595,23.00,21.00
27,450.000,193.188,24.24,22.24
28,300.000,145.946,25.20,23.20
29,200.000,122.375,25.80,23.80
30,250.000,133.822,26.00,24.00
31,350.000,160.031,25.80,23.80
32,500.000,213.707,25.20,23.20
33,450.000,193.188,24.24,22.24
34,300.000,145.861,23.00,21.00
35,200.000,122.085,21.55,19.55
36,250.000,133.424,20.00,18.00
37,350.000,159.660,18.45,16.45
38,500.000,213.595,17.00,15.00
39,450.000,193.188,15.76,13.76
40,300.000,145.861,14.80,12.80
41,200.000,122.085,14.20,12.20
42,250.000,133.424,14.00,12.00
43,350.000,159.660,14.20,12.20
44,500.000,213.595,14.80,12.80
45,450.000,193.188,15.76,13.76
46,300.000,145.861,17.00,15.00
47,200.000,122.085,18.45,16.45
48,250.000,133.424,20.00,18.00
49,350.000,159.660,21.55,19.55
50,500.000,213.595,23.00,21.00
51,450.000,193.188,24.24,22.24
52,300.000,145.946,25.20,23.20
53,200.000,122.375,25.80,23.80
54,250.000,133.822,26.00,24.00
55,350.000,160.031,25.80,23.80
56,500.000,213.707,25.20,23.20
57,450.000,193.188,24.24,22.24
58,300.000,145.861,23.00,21.00
59,200.000,122.085,21.55,19.55
60,250.000,133.424,20.00,18.00
61,350.000,159.660,18.45,16.45
62,500.000,213.595,17.00,15.00
63,450.000,193.188,15.76,13.76
64,300.000,145.861,14.80,12.80
65,200.000,122.085,14.20,12.20
66,250.000,133.424,14.00,12.00
67,350.000,159.660,14.20,12.20
68,500.000,213.595,14.80,12.80
69,450.000,193.188,15.76,13.76
70,300.000,145.861,17.00,15.00
71,200.000,122.085,18.45,16.45
