Hour,DryBulbTemp_C,RelativeHumidity_%,Pressure_kPa,WindSpeed_m/s
1,24,60,101.3,2.5
2,24.01,59.99,101.3,2.5
3,24.01,59.98,101.3,2.5
4,24.02,59.97,101.3,2.5
5,24.02,59.96,101.3,2.5
6,24.03,59.95,101.3,2.5
7,24.03,59.94,101.3,2.5
8,24.04,59.92,101.3,2.5
9,24.05,59.91,101.3,2.5
10,24.05,59.9,101.3,2.5
11,24.06,59.89,101.3,2.5
12,24.06,59.88,101.3,2.5
13,24.07,59.87,101.3,2.5
14,24.07,59.86,101.3,2.5
15,24.08,59.85,101.3,2.5
16,24.09,59.84,101.3,2.5
17,24.09,59.83,101.3,2.5
18,24.1,59.82,101.3,2.5
19,24.1,59.81,101.3,2.5
20,24.11,59.8,101.3,2.5
21,24.11,59.78,101.3,2.5
22,24.12,59.77,101.3,2.5
23,24.13,59.76,101.3,2.5
24,24.13,59.75,101.3,2.5
25,24.14,59.74,101.3,2.5
26,24.14,59.73,101.3,2.5
27,24.15,59.72,101.3,2.5
28,24.15,59.71,101.3,2.5
29,24.16,59.7,101.3,2.5
30,24.17,59.69,101.3,2.5
31,24.17,59.68,101.3,2.5
32,24.18,59.67,101.3,2.5
33,24.18,59.66,101.3,2.5
34,24.19,59.64,101.3,2.5
35,24.2,59.63,101.3,2.5
36,24.2,59.62,101.3,2.5
37,24.21,59.61,101.3,2.5
38,24.21,59.6,101.3,2.5
39,24.22,59.59,101.3,2.5
40,24.22,59.58,101.3,2.5
41,24.23,59.57,101.3,2.5
42,24.24,59.56,101.3,2.5
43,24.24,59.55,101.3,2.5
44,24.25,59.54,101.3,2.5
45,24.25,59.53,101.3,2.5
46,24.26,59.52,101.3,2.5
47,24.26,59.51,101.3,2.5
48,24.27,59.49,101.3,2.5
49,24.28,59.48,101.3,2.5
50,24.28,59.47,101.3,2.5
51,24.29,59.46,101.3,2.5
52,24.29,59.45,101.3,2.5
53,24.3,59.44,101.3,2.5
54,24.3,59.43,101.3,2.5
55,24.31,59.42,101.3,2.5
56,24.32,59.41,101.3,2.5
57,24.32,59.4,101.3,2.5
58,24.33,59.39,101.3,2.5
59,24.33,59.38,101.3,2.5
60,24.34,59.37,101.3,2.5
61,24.34,59.35,101.3,2.5
62,24.35,59.34,101.3,2.5
63,24.36,59.33,101.3,2.5
64,24.36,59.32,101.3,2.5
65,24.37,59.31,101.3,2.5
66,24.37,59.3,101.3,2.5
67,24.38,59.29,101.3,2.5
68,24.38,59.28,101.3,2.5
69,24.39,59.27,101.3,2.5
70,24.4,59.26,101.3,2.5
71,24.4,59.25,101.3,2.5
72,24.41,59.24,101.3,2.5
73,24.41,59.23,101.3,2.5
74,24.42,59.21,101.3,2.5
75,24.42,59.2,101.3,2.5
76,24.43,59.19,101.3,2.5
77,24.44,59.18,101.3,2.5
78,24.44,59.17,101.3,2.5
79,24.45,59.16,101.3,2.5
80,24.45,59.15,101.3,2.5
81,24.46,59.14,101.3,2.5
82,24.46,59.13,101.3,2.5
83,24.47,59.12,101.3,2.5
84,24.48,59.11,101.3,2.5
85,24.48,59.1,101.3,2.5
86,24.49,59.09,101.3,2.5
87,24.49,59.08,101.3,2.5
88,24.5,59.06,101.3,2.5
89,24.5,59.05,101.3,2.5
90,24.51,59.04,101.3,2.5
91,24.52,59.03,101.3,2.5
92,24.52,59.02,101.3,2.5
93,24.53,59.01,101.3,2.5
94,24.53,59,101.3,2.5
95,24.54,58.99,101.3,2.5
96,24.54,58.98,101.3,2.5
97,24.55,58.97,101.3,2.5
98,24.56,58.96,101.3,2.5
99,24.56,58.95,101.3,2.5
100,24.57,58.94,101.3,2.5
101,24.57,58.93,101.3,2.5
102,24.58,58.91,101.3,2.5
103,24.58,58.9,101.3,2.5
104,24.59,58.89,101.3,2.5
105,24.6,58.88,101.3,2.5
106,24.6,58.87,101.3,2.5
107,24.61,58.86,101.3,2.5
108,24.61,58.85,101.3,2.5
109,24.62,58.84,101.3,2.5
110,24.62,58.83,101.3,2.5
111,24.63,58.82,101.3,2.5
112,24.64,58.81,101.3,2.5
113,24.64,58.8,101.3,2.5
114,24.65,58.79,101.3,2.5
115,24.65,58.77,101.3,2.5
116,24.66,58.76,101.3,2.5
117,24.66,58.75,101.3,2.5
118,24.67,58.74,101.3,2.5
119,24.68,58.73,101.3,2.5
120,24.68,58.72,101.3,2.5
121,24.69,58.71,101.3,2.5
122,24.69,58.7,101.3,2.5
123,24.7,58.69,101.3,2.5
124,24.7,58.68,101.3,2.5
125,24.71,58.67,101.3,2.5
126,24.72,58.66,101.3,2.5
127,24.72,58.65,101.3,2.5
128,24.73,58.64,101.3,2.5
129,24.73,58.62,101.3,2.5
130,24.74,58.61,101.3,2.5
131,24.74,58.6,101.3,2.5
132,24.75,58.59,101.3,2.5
133,24.76,58.58,101.3,2.5
134,24.76,58.57,101.3,2.5
135,24.77,58.56,101.3,2.5
136,24.77,58.55,101.3,2.5
137,24.78,58.54,101.3,2.5
138,24.78,58.53,101.3,2.5
139,24.79,58.52,101.3,2.5
140,24.8,58.51,101.3,2.5
141,24.8,58.5,101.3,2.5
142,24.81,58.49,101.3,2.5
143,24.81,58.47,101.3,2.5
144,24.82,58.46,101.3,2.5
145,24.82,58.45,101.3,2.5
146,24.83,58.44,101.3,2.5
147,24.84,58.43,101.3,2.5
148,24.84,58.42,101.3,2.5
149,24.85,58.41,101.3,2.5
150,24.85,58.4,101.3,2.5
151,24.86,58.39,101.3,2.5
152,24.86,58.38,101.3,2.5
153,24.87,58.37,101.3,2.5
154,24.88,58.36,101.3,2.5
155,24.88,58.35,101.3,2.5
156,24.89,58.34,101.3,2.5
157,24.89,58.33,101.3,2.5
158,24.9,58.31,101.3,2.5
159,24.9,58.3,101.3,2.5
160,24.91,58.29,101.3,2.5
161,24.92,58.28,101.3,2.5
